,area,eccentricity,centroid-0,centroid-1,mean_intensity,centroid_int,RNA,rep
37,3.152977908436139,0.6617882790233302,146.89814814814815,176.55555555555554,21636.10802469136,31431.2,no,1
38,1.0607240494430221,0.7977679050965468,151.07339449541286,378.1834862385321,17195.119266055044,20481.2,no,1
39,0.26274815903634496,0.7874870137502309,150.03703703703704,432.8888888888889,14268.111111111111,14265.8,no,1
40,4.057999345116883,0.6058106543047843,156.69304556354916,363.7170263788969,18199.67865707434,20447.4,no,1
42,3.3768004142819144,0.4470805104246727,163.10662824207492,440.79250720461096,19870.553314121036,24696.4,no,1
43,5.38147155359625,0.39949466608786877,169.28209764918626,267.5623869801085,24455.971066907776,28613.6,no,1
44,5.926430698264225,0.6732384555399465,174.61904761904762,74.55829228243022,22198.454844006566,31240.0,no,1
46,5.225768940833971,0.11371742775921265,178.6536312849162,486.7150837988827,22452.221601489757,25210.6,no,1
47,2.666407243554019,0.5016075153436674,184.86131386861314,448.3941605839416,20127.94890510949,24254.6,no,1
48,0.8563643701925316,0.7918251594622235,215.5681818181818,6.170454545454546,14574.988636363636,14065.6,no,1
49,3.668742813211187,0.4737241609240285,218.71087533156498,351.17506631299733,22782.63395225464,28270.2,no,1
50,0.5060334914774051,0.9844403399184335,221.98076923076923,361.4807692307692,22321.173076923078,27483.2,no,1
51,3.367069000984272,0.6256349286055476,225.5,372.3612716763006,22892.92196531792,26075.2,no,1
52,2.2674192983506805,0.5457939409064928,226.66523605150215,194.71244635193133,20525.742489270386,23113.6,no,1
53,6.4130013631463445,0.8354271945365996,230.8907435508346,21.496206373292868,21703.62215477997,24293.6,no,1
54,6.315687230169921,0.49982720036168565,229.47303543913713,434.92295839753467,22517.762711864405,24775.8,no,1
55,4.233164784474446,0.7388590456516846,232.49885057471263,176.4551724137931,21547.554022988505,25755.2,no,1
58,4.622421316380143,0.4605814156482832,249.10315789473685,251.42526315789473,22475.797894736843,26812.0,no,1
59,4.2915532642603,0.36295158837310615,251.73469387755102,91.67573696145125,23814.775510204083,28010.2,no,1
60,0.6228104510491139,0.5111172666423205,249.953125,217.53125,16060.046875,19139.2,no,1
61,1.6446088473015665,0.5073070987767532,260.4852071005917,216.93491124260356,17500.165680473372,20146.2,no,1
62,5.9458935248595095,0.7255596573106697,266.0147299509002,237.24058919803602,24817.338788870704,31039.4,no,1
64,1.3818606882652216,0.8143627258233881,284.8732394366197,161.93661971830986,18097.147887323943,21548.4,no,1
65,2.9875438823762184,0.6321473857460836,290.34201954397395,403.30944625407164,17754.8664495114,20305.4,no,1
66,4.0871935850098104,0.6830259797719681,293.82380952380953,175.11666666666667,21414.088095238094,22009.6,no,1
67,4.456987290320222,0.5199458198582025,294.35589519650654,369.8362445414847,21406.64847161572,28936.0,no,1
69,5.644219712632595,0.4289125445870518,320.0931034482759,208.8448275862069,20567.691379310345,23551.2,no,1
71,2.1311795121836865,0.720953535372485,324.9178082191781,267.81278538812785,17998.803652968036,20119.0,no,1
72,0.24328533244106013,0.5919505204654275,336.4,273.24,14732.36,18332.0,no,1
75,6.91903485462375,0.3965472556215901,346.0661040787623,140.51195499296765,21715.677918424753,24660.4,no,1
76,0.6033476244538292,0.521108484580849,346.19354838709677,43.37096774193548,13800.564516129032,13050.8,no,1
77,6.588166802503908,0.7921393921889637,343.423929098966,297.8877400295421,22476.062038404725,27378.8,no,1
78,1.9268198329331963,0.5558059166712984,354.35858585858585,24.732323232323232,18715.060606060608,23589.2,no,1
79,0.7979758904066772,0.6759358455442721,355.4878048780488,37.02439024390244,16493.085365853658,18299.8,no,1
80,2.4133904978153167,0.7331036177984682,368.35483870967744,37.270161290322584,18313.854838709678,27589.8,no,1
81,2.5593616972799524,0.8725558071324673,372.0114068441065,51.42965779467681,16906.22433460076,17442.4,no,1
82,1.3915921015628638,0.6862372328731723,369.93706293706293,97.55944055944056,18412.174825174825,21270.2,no,1
83,5.108991981262263,0.3754651273840244,381.5409523809524,458.48,24231.253333333334,29725.2,no,1
85,3.260023454710206,0.6375697456896561,388.0537313432836,161.2507462686567,21809.30447761194,26367.2,no,1
86,1.5667575409204273,0.43752880621282336,389.0,239.04347826086956,19485.782608695652,25470.8,no,1
88,2.5593616972799524,0.4734598484577072,416.93155893536124,101.68821292775665,21076.266159695817,30947.6,no,1
89,0.46710783828683544,0.6190065642278715,419.2083333333333,452.875,15060.333333333334,15673.8,no,1
90,4.233164784474446,0.6540705758407322,421.0436781609195,392.1471264367816,20517.655172413793,23819.6,no,1
92,3.250292041412563,0.3972987106425795,453.18263473053895,28.619760479041915,19622.982035928144,26849.6,no,1
94,2.5593616972799524,0.46945952984365025,456.70722433460077,107.59695817490494,18715.460076045627,21957.6,no,1
95,8.592837941818244,0.5553445702259878,461.4473386183465,401.69535673839187,23883.104190260474,25754.6,no,1
96,0.5060334914774051,0.7040867751466295,462.8076923076923,172.07692307692307,14161.442307692309,14412.8,no,1
97,2.5885559371728797,0.7622574933825769,462.81954887218046,297.03007518796994,17737.646616541355,23992.6,no,1
99,4.145582064795665,0.5675555025322951,466.3356807511737,123.28169014084507,20621.657276995305,23501.0,no,1
100,4.943557955202341,0.48685127161844827,466.8937007874016,371.3937007874016,21081.462598425198,24370.2,no,1
101,1.8586999398496993,0.22758465824384647,480.869109947644,464.020942408377,17210.403141361257,24083.8,no,1
0,4.262359024367373,0.4431904694274584,14.853881278538813,52.55251141552512,21286.420091324202,25529.2,no,1
1,2.6566758302563764,0.45705445500481895,28.736263736263737,231.47619047619048,19827.725274725275,22344.8,no,1
3,0.5449591446679747,0.5020311231981819,55.642857142857146,281.57142857142856,14937.767857142857,15629.6,no,1
4,3.912028145652247,0.7679863312712261,59.67412935323383,265.52985074626866,17759.333333333332,21767.0,no,1
6,0.3697937053104114,0.5212908740507308,68.5,343.57894736842104,13808.421052631578,15018.6,no,1
7,3.386531827579557,0.727100282248817,74.60632183908046,330.79597701149424,18788.98275862069,24035.0,no,1
8,2.6858700701493037,0.34283970875370245,79.1304347826087,190.09420289855072,15559.884057971014,19332.0,no,1
9,7.9213704242809175,0.7706076822943364,81.21990171990171,147.43243243243242,21901.550368550368,26020.2,no,1
11,0.8563643701925316,0.7172392519245143,82.14772727272727,8.670454545454545,17773.488636363636,27578.4,no,1
13,2.938886815888006,0.522524272946078,87.38079470198676,319.9337748344371,19760.556291390727,24715.2,no,1
14,1.8295056999567723,0.38859034822471755,89.10106382978724,120.23936170212765,17874.042553191488,19301.8,no,1
15,1.8197742866591298,0.43052903403492165,90.17647058823529,462.67914438502675,17250.208556149733,19264.0,no,1
16,7.911639010983276,0.6600229231421266,108.61869618696187,378.0,20682.60270602706,23880.6,no,1
17,4.3207475041532275,0.48505127534239295,108.70945945945945,445.2635135135135,21145.93018018018,32037.8,no,1
18,3.7563255328899685,0.41388063010725396,122.94818652849742,206.60880829015545,21958.34196891192,27562.8,no,1
19,4.349941744046155,0.21258769789599263,152.55480984340045,437.4653243847875,20866.136465324384,25817.8,no,1
20,3.892565319056962,0.6151159505679825,159.5475,402.975,19331.2425,21708.4,no,1
22,4.466718703617864,0.4657205688856543,166.22875816993465,454.6318082788671,20048.71677559913,23239.6,no,1
23,3.9314909722475315,0.5223406702083389,168.3638613861386,203.27475247524754,21472.309405940596,26015.0,no,1
24,1.4499805813487183,0.7539948769610686,170.2013422818792,218.64429530201343,19161.919463087248,23971.0,no,1
29,2.4133904978153167,0.38303237931528533,180.0766129032258,99.0,17152.895161290322,19948.8,no,1
30,2.3744648446247467,0.7758098987657412,186.6516393442623,452.41803278688525,18753.508196721312,26527.6,no,1
32,4.719735449356566,0.5987295674742759,195.92577319587627,35.52577319587629,20965.321649484536,26421.0,no,1
33,1.226158075502943,0.3299643811343304,208.61111111111111,489.031746031746,17160.02380952381,20940.0,no,1
34,5.089529154666978,0.5047250099512909,230.95411089866155,273.88336520076484,21900.969407265773,23761.8,no,1
36,3.571428680234763,0.6847658244795973,238.4441416893733,78.80653950953679,20212.93732970027,24151.4,no,1
37,3.8633710791640348,0.6249105456348242,241.62468513853904,218.71032745591938,21508.823677581862,25813.0,no,1
38,2.0046711393143353,0.6483158607453338,246.36893203883494,265.6407766990291,19122.961165048542,23752.8,no,1
39,7.755936398220997,0.5740807556754783,241.702634880803,312.59347553324966,21834.268506900877,26905.2,no,1
40,4.846243822225918,0.819344991486728,242.14457831325302,121.12449799196787,21092.71686746988,28212.8,no,1
41,0.6617361042396835,0.7820289428450824,250.5735294117647,207.77941176470588,15242.779411764706,16110.2,no,1
43,5.488517099870316,0.6550901418719229,254.27659574468086,463.4343971631206,20999.163120567377,26847.4,no,1
44,7.327754213124731,0.6372500951015956,263.84727755644093,112.48339973439575,23010.621513944225,24508.2,no,1
47,0.23355391914341772,0.9248376457548921,268.7916666666667,151.625,12740.083333333334,11771.2,no,1
48,2.734527136637516,0.34411072711597884,274.1032028469751,91.00711743772241,18568.44839857651,21417.4,no,1
50,1.9170884196355538,0.41224580081658135,283.2284263959391,185.68527918781726,15808.903553299493,17675.6,no,1
51,4.398598810534367,0.8061365398332395,286.6991150442478,452.2787610619469,19937.798672566372,23004.6,no,1
52,4.447255877022579,0.8255324195210094,286.328227571116,211.15973741794312,19549.945295404814,31372.0,no,1
54,0.24328533244106013,0.9505886038489477,304.04,23.36,12509.44,11126.0,no,1
56,0.48657066488212025,0.7809137917816612,303.6,18.44,12330.58,13306.4,no,1
57,4.5543014232966454,0.6649628366686726,304.5,50.21153846153846,21060.05982905983,24074.8,no,1
59,2.2479564717553955,0.7142628594145485,306.97402597402595,462.24675324675326,16344.359307359307,19732.0,no,1
60,3.649279986615902,0.6706139564735928,307.9066666666667,109.0,19677.661333333333,27730.2,no,1
63,3.7271312929970413,0.45520003015475125,313.7597911227154,269.02349869451695,20029.04960835509,23692.6,no,1
64,7.629428025351645,0.4354525594464267,315.40433673469386,415.7015306122449,21696.783163265307,26645.0,no,1
65,4.3207475041532275,0.46609206403820896,326.10585585585585,137.61261261261262,23163.315315315314,28844.0,no,1
69,0.27247957233398734,0.8166691773516406,342.5357142857143,142.53571428571428,12752.25,11047.2,no,1
70,4.427793050427295,0.805182685277368,349.6967032967033,328.0571428571429,20459.8,24594.2,no,1
72,5.128454807857548,0.7170592008221407,363.11195445920305,270.9146110056926,21188.351043643263,26617.0,no,1
74,4.602958489784857,0.4312642263989659,365.8858350951374,48.58350951374207,22760.03382663848,28023.6,no,1
75,0.7590502372161076,0.739364991611364,363.7435897435897,342.34615384615387,14308.615384615385,12787.2,no,1
76,0.2043596792504905,0.6901335236583768,375.76190476190476,257.14285714285717,12895.904761904761,13791.2,no,1
77,6.403269949848703,0.6670403367945597,383.8890577507599,158.661094224924,22175.313069908814,28041.8,no,1
78,7.551576718970506,0.37959565665341105,402.6430412371134,84.33247422680412,21780.153350515466,27003.8,no,1
79,1.946282659528481,0.633050328883055,408.18,313.19,15330.41,18511.0,no,1
81,4.2915532642603,0.3106686929158456,410.99773242630386,360.4761904761905,18969.28117913832,23234.8,no,1
83,3.1140522552455696,0.7018836271709965,442.5625,150.15,19052.971875,24328.8,no,1
84,4.213701957879161,0.27235097450202167,454.21016166281754,25.854503464203233,22635.57505773672,25969.6,no,1
85,5.3620087270009655,0.32353130300243177,453.87658802177856,267.7295825771325,23562.80399274047,29495.2,no,1
86,3.9412223855451742,0.35026586487854516,456.5111111111111,336.3530864197531,20821.30864197531,23060.4,no,1
87,2.2479564717553955,0.47488793547027564,460.5800865800866,238.16450216450215,16712.290043290042,22328.0,no,1
88,1.5959517808133543,0.4640686965215527,461.8475609756098,445.0365853658537,14820.731707317073,16715.2,no,1
91,2.092253858993117,0.8533227420901776,472.73023255813956,331.7767441860465,20427.962790697675,23335.2,no,1
93,4.583495663189573,0.8190562389212277,486.5647558386412,333.5541401273885,20470.906581740976,28006.8,no,1
94,7.240171493445949,0.41081268249505104,484.81451612903226,421.15994623655916,22522.11693548387,29012.8,no,1
95,1.8197742866591298,0.6189986250709959,496.6898395721925,314.14438502673795,19477.823529411766,24595.0,no,1
1,3.0167381222691456,0.762900291732264,18.364516129032257,313.2,20416.287096774195,25503.2,no,1
3,2.8707669228045094,0.6171562858830125,23.603389830508476,432.67118644067796,21980.20338983051,23385.6,no,1
4,1.4986376478369303,0.3441123300278067,24.253246753246753,224.15584415584416,16573.68181818182,20871.6,no,1
5,2.8804983361021517,0.4467215770923025,40.189189189189186,122.02027027027027,19908.125,28142.6,no,1
7,1.4597119946463608,0.7474671350941938,51.13333333333333,114.82,19159.366666666665,21281.8,no,1
8,0.5060334914774051,0.48114481041289003,47.65384615384615,442.2692307692308,14477.903846153846,15591.6,no,1
9,1.946282659528481,0.35845994638311685,50.455,179.835,21798.65,29125.6,no,1
10,3.9606852121404588,0.2748307995366043,50.61179361179361,208.44226044226045,21416.759213759215,24984.2,no,1
11,3.697937053104114,0.38674216717280774,54.55,93.30526315789474,22178.155263157896,27052.0,no,1
12,2.530167457387025,0.5294431186646568,62.73461538461538,69.88461538461539,17676.71923076923,22106.4,no,1
16,0.32113663882219934,0.8791595113769022,75.3030303030303,89.72727272727273,13543.939393939394,12568.2,no,1
17,4.525107183403718,0.4179665000240676,85.39784946236558,210.88817204301074,21658.335483870967,23089.2,no,1
18,2.111716685588402,0.779823985752183,83.59447004608295,88.15668202764977,16916.16129032258,19916.4,no,1
19,4.2915532642603,0.5977413482473368,97.82993197278911,76.6734693877551,22567.46485260771,23901.8,no,1
20,1.8586999398496993,0.4463427060103941,103.47120418848168,181.17801047120417,16575.52879581152,17768.8,no,1
22,7.872713357792706,0.7912543005342,115.04079110012361,306.31273176761437,22323.89369592089,27480.8,no,1
28,0.7395874106208228,0.4046182147017894,133.55263157894737,69.6842105263158,15604.026315789473,18868.0,no,1
