,time,Cnorm_grn,Cnorm_red,NF_ratio,rep,im_nr,drop_id
18,45,0.2750464981844868,1.380236305048335,0,2,1,7
19,48,0.2415675469098698,-0.28293545534924835,0,2,1,7
20,51,0.296710181396952,0.4719832597070449,0,2,1,7
21,54,0.2773635969773866,0.35417308284570376,0,2,1,7
22,57,0.28470992156294184,0.988515176374077,0,2,1,7
23,60,0.2943258533665606,1.197230288139379,0,2,1,7
24,63,0.23310834721140944,0.6659142212189617,0,2,1,7
25,66,0.2288261234423775,-0.359634997316157,0,2,1,7
26,69,0.2745462787616079,0.6425604690935744,0,2,1,7
27,72,0.28574567389958255,1.7970588235294116,0,2,1,7
28,75,0.31151677793807275,0.8868022952529997,0,2,1,7
29,78,0.2728950424709775,0.4937741519965652,0,2,1,7
30,81,0.3079722278034514,-0.7763975155279503,0,2,1,7
31,84,0.2848605748728531,1.0281481481481478,0,2,1,7
32,87,0.2993896419921717,0.2495583038869258,0,2,1,7
33,90,0.26915101938481,0.46464646464646464,0,2,1,7
34,93,0.30890801158122894,1.1214318078840053,0,2,1,7
35,96,0.312388412140759,0.918992511912866,0,2,1,7
36,99,0.27700166364658296,0.49999999999999983,0,2,1,7
37,102,0.25961964825769357,0.7015728476821191,0,2,1,7
38,105,0.2779880114672922,0.534201954397394,0,2,1,7
39,108,0.2644469974247167,0.6647887323943661,0,2,1,7
0,-9,1.1238511251342131,1.1404293381037567,0,2,1,8
1,-6,1.087508229180801,1.3609782030834665,0,2,1,8
2,-3,1.08645205058662,0.23584905660377356,0,2,1,8
3,0,0.0,0.0,0,2,1,8
4,3,0.15042016683762083,7.6320582877959895,0,2,1,8
5,6,0.1819016875120023,0.602713789839066,0,2,1,8
6,9,0.2675541720970128,0.8389652761594032,0,2,1,8
7,12,0.27459244836406677,0.6196213425129089,0,2,1,8
8,15,0.2967621047055188,0.5005362888809436,0,2,1,8
9,18,0.2867067120084182,0.536117381489842,0,2,1,8
10,21,0.3093245278446171,1.3428190306803027,0,2,1,8
11,24,0.29000336225257844,7.198622273249133,0,2,1,8
12,27,0.30871199467845617,1.7261904761904765,0,2,1,8
13,30,0.3158974988050901,3.3438485804416387,0,2,1,8
14,33,0.3169831873286863,9.108761329305128,0,2,1,8
15,36,0.3283864856330913,1.6099585062240662,0,2,1,8
16,39,0.31257496539767515,-0.12770137524557928,0,2,1,8
17,42,0.29663793021988577,1.5260432531221446,0,2,1,8
18,45,0.2810389733180283,0.016286644951140294,0,2,1,8
19,48,0.319321835039736,2.2640832436311444,0,2,1,8
20,51,0.307202716872607,1.3145290047897815,0,2,1,8
21,54,0.3794634011017318,1.4558472553699287,0,2,1,8
22,57,0.31924732316745175,4.83128834355828,0,2,1,8
23,60,0.3198643468372068,5.325895478567234,0,2,1,8
24,63,0.36368470671650804,1.2914285714285718,0,2,1,8
25,66,0.32957384860342226,1.2102689486552565,0,2,1,8
26,69,0.3867178565120838,0.7810253953042642,0,2,1,8
27,72,0.3579006342342859,0.3309352517985613,0,2,1,8
28,75,0.327148268473993,4.995737425404943,0,2,1,8
29,78,0.32221521154650706,3.955321944809458,0,2,1,8
30,81,0.32504933231394995,2.266800401203611,0,2,1,8
31,84,0.35309528098542114,-0.32442067736185365,0,2,1,8
32,87,0.3150277674819893,3.3777239709443077,0,2,1,8
33,90,0.3555911237946826,5.3414634146341475,0,2,1,8
34,93,0.33953477022097567,4.716874292185731,0,2,1,8
35,96,0.36957739055963634,2.2085132634176436,0,2,1,8
36,99,0.3122614580807963,1.96875,0,2,1,8
37,102,0.3801992633402664,4.859050445103856,0,2,1,8
38,105,0.33088946150807835,2.8126984126984125,0,2,1,8
39,108,0.359853427363005,-0.14068441064638768,0,2,1,8
0,-9,1.1484581020548097,3.030303030303029,0,2,1,17
1,-6,1.1926982381644542,0.7395898073337479,0,2,1,17
2,-3,1.186578719531146,0.19073569482288896,0,2,1,17
3,0,0.0,-0.0,0,2,1,17
4,3,0.15606047508971718,-1.2918060200668893,0,2,1,17
5,6,0.17273158034262434,-16.386292834891,0,2,1,17
6,9,0.2003068632640131,6.928838951310855,0,2,1,17
7,12,0.21617343827142568,1.785918717801945,0,2,1,17
8,15,0.26554468706576867,-0.36075036075036115,0,2,1,17
9,18,0.23857364158571073,40.18518518518578,0,2,1,17
10,21,0.2826946009773891,0.7091055600322312,0,2,1,17
11,24,0.2596276241189488,-1.4891179839633444,0,2,1,17
12,27,0.27334129800085,-8.862660944205988,0,2,1,17
13,30,0.2806083763885715,-3.1181102362204727,0,2,1,17
14,33,0.34818390440769176,0.04243281471004253,0,2,1,17
15,36,0.26572952869435057,47.19999999999999,0,2,1,17
16,39,0.28030117060311155,-4.477303988995872,0,2,1,17
17,42,0.2340980351404977,6.763285024154565,0,2,1,17
18,45,0.28963719197336846,-5.89941972920696,0,2,1,17
19,48,0.29600870691371406,2.0341394025604544,0,2,1,17
20,51,0.2906068882013603,-2.290502793296089,0,2,1,17
21,54,0.2701143510660349,-1.3464991023339299,0,2,1,17
22,57,0.284498018746676,1.3677950594693506,0,2,1,17
23,60,0.24580228101905505,-2.4846110800223826,0,2,1,17
24,63,0.29965411634322625,1.8793103448275859,0,2,1,17
25,66,0.27708476138922283,0.1254826254826252,0,2,1,17
26,69,0.25077387844553595,-4.461867426942267,0,2,1,17
27,72,0.314959928762244,2.112676056338026,0,2,1,17
28,75,0.31697000778025586,1.1363636363636367,0,2,1,17
29,78,0.3005396801782902,-2.103658536585366,0,2,1,17
30,81,0.2880016904493922,-1.5574866310160418,0,2,1,17
31,84,0.30627059102987236,-0.37956204379561914,0,2,1,17
32,87,0.2896873007442825,0.2339499455930358,0,2,1,17
33,90,0.2517303583156756,0.6283185840707963,0,2,1,17
