,protein,RNA,motifs,KD
0,FUS,E1,55,52.77552709359516
1,FUS,C1,2,729.3955841741089
2,FUS,C2,5,728.7746299740958
3,FUS,C3,2,707.4729859513329
4,FUS,E2,24,177.28578075225002
5,FUS,E3,29,135.55859270124236
6,FUS,E1_BH,67,70.92737129591937
7,FUS,E1_BL,18,310.7688394551194
8,NONO,E1,6,594.6103272475808
9,NONO,C2,1,836.4703796351166
10,SFPQ,E1,22,149.6743440302905
11,SFPQ,C1,25,227.19202006662354
12,SFPQ,C2,24,208.43153441445546
13,SFPQ,C3,18,149.0890362373709
14,TDP-43,E3,56,145.72701863224495
